Synthesis	O
and	O
characterization	O
of	O
photoreactive	O
insulin	B-Protein
-	I-Protein
like	I-Protein
growth	I-Protein
factor	I-Protein
1	E-Protein
derivatives	O
for	O
receptor	O
analysis	O
.	O

Recombinant	O
human	O
insulin	B-Protein
-	I-Protein
like	I-Protein
growth	I-Protein
factor	I-Protein
1	E-Protein
(	O
hIGF	B-Protein
-	I-Protein
1	E-Protein
)	O
was	O
reacted	O
with	O
4	O
-	O
azidosalicylic	O
acid	O
(	O
Asa	O
)	O
to	O
synthesize	O
photoreactive	O
IGF	B-Protein
-	I-Protein
1	E-Protein
derivatives	O
.	O

Depending	O
on	O
the	O
time	O
of	O
reaction	O
and	O
the	O
Asa	O
/	O
IGF	B-Protein
-	I-Protein
1	E-Protein
ratio	O
,	O
a	O
mixture	O
of	O
mono	O
-	O
,	O
bis	O
-	O
,	O
and	O
trisacylated	O
derivatives	O
and	O
one	O
tetraacylated	O
derivative	O
was	O
produced	O
,	O
which	O
was	O
separated	O
by	O
reversed	O
-	O
phase	O
HPLC	O
.	O

HPLC	O
,	O
PAGE	O
,	O
and	O
MALDI	O
mass	O
spectrometry	O
were	O
used	O
to	O
determine	O
the	O
degree	O
of	O
the	O
acylation	O
and	O
location	O
of	O
the	O
photolabel	O
insertion	O
.	O

After	O
iodination	O
of	O
the	O
three	O
monoacylated	O
photoreactive	O
IGF	B-Protein
-	I-Protein
1	E-Protein
derivatives	O
,	O
the	O
specific	O
labeling	O
of	O
the	O
receptor	O
could	O
be	O
proved	O
.	O

Together	O
with	O
a	O
comparative	O
investigation	O
in	O
which	O
B29	O
-	O
Asa	O
-	O
insulin	S-Protein
was	O
used	O
,	O
the	O
results	O
suggest	O
corresponding	O
contact	O
areas	O
for	O
IGF	B-Protein
-	I-Protein
1	E-Protein
and	O
insulin	S-Protein
with	O
the	O
insulin	B-Protein
receptor	E-Protein
ectodomain	O
.	O

Cell	O
-	O
specific	O
glycoforms	O
of	O
sialoadhesin	S-Protein
and	O
CD45	S-Protein
are	O
counter	O
-	O
receptors	O
for	O
the	O
cysteine	O
-	O
rich	O
domain	O
of	O
the	O
mannose	O
receptor	O
.	O

We	O
previously	O
reported	O
that	O
CR	O
-	O
Fc	O
,	O
an	O
Fc	O
chimeric	O
protein	O
containing	O
the	O
cysteine	O
-	O
rich	O
(	O
CR	O
)	O
domain	O
of	O
the	O
mannose	O
receptor	O
,	O
binds	O
to	O
marginal	O
zone	O
metallophilic	O
macrophages	O
(	O
Mo	O
)	O
and	O
B	O
cell	O
areas	O
in	O
the	O
spleen	O
and	O
to	O
subcapsular	O
sinus	O
Mo	O
in	O
lymph	O
nodes	O
of	O
naive	O
mice	O
(	O
CR	O
-	O
Fc	O
(	O
+	O
)	O
cells	O
)	O
.	O

Several	O
CR	O
-	O
Fc	O
ligands	O
were	O
found	O
in	O
spleen	O
and	O
lymph	O
node	O
tissue	O
lysates	O
using	O
ligand	O
blots	O
.	O

In	O
this	O
paper	O
we	O
report	O
the	O
identification	O
of	O
two	O
of	O
these	O
ligands	O
as	O
sialoadhesin	S-Protein
(	O
Sn	S-Protein
)	O
,	O
an	O
Mo	O
-	O
specific	O
membrane	O
molecule	O
,	O
and	O
the	O
leukocyte	O
common	O
antigen	O
,	O
CD45	S-Protein
.	O

CR	O
-	O
Fc	O
bound	O
selectively	O
to	O
Sn	S-Protein
purified	O
from	O
spleen	O
and	O
lymph	O
nodes	O
and	O
to	O
two	O
low	O
molecular	O
weight	O
isoforms	O
of	O
CD45	S-Protein
in	O
a	O
sugar	O
-	O
dependent	O
manner	O
.	O

CR	O
-	O
Fc	O
binding	O
and	O
non	O
-	O
